timestamp_utc,device_id,plant_instance_id,species_id,soil_moisture,soil_moisture_raw,soil_temperature_c,air_temperature_c,air_humidity_pct,light_lux,is_watering_event,watering_amount_ml
2026-01-01T00:00:00+00:00,dev_1301,1,728,0.751,696,21.4,22.07,43.9,0.0,0,0.0
2026-01-01T00:10:00+00:00,dev_1301,1,728,0.7447,688,21.39,22.13,42.5,0.0,0,0.0
2026-01-01T00:20:00+00:00,dev_1301,1,728,0.7403,683,21.37,22.18,44.8,0.0,0,0.0
2026-01-01T00:30:00+00:00,dev_1301,1,728,0.7375,692,21.33,22.22,42.3,0.0,0,0.0
2026-01-01T00:40:00+00:00,dev_1301,1,728,0.7532,693,21.34,22.31,43.6,0.0,0,0.0
2026-01-01T00:50:00+00:00,dev_1301,1,728,0.7535,697,21.31,22.43,44.2,0.0,0,0.0
2026-01-01T01:00:00+00:00,dev_1301,1,728,0.7397,688,21.29,22.49,44.3,0.0,0,0.0
2026-01-01T01:10:00+00:00,dev_1301,1,728,0.7523,706,21.34,22.55,38.7,0.0,0,0.0
2026-01-01T01:20:00+00:00,dev_1301,1,728,0.7519,708,21.39,22.64,41.4,0.0,0,0.0
2026-01-01T01:30:00+00:00,dev_1301,1,728,0.7442,693,21.4,22.7,44.2,0.0,0,0.0
2026-01-01T01:40:00+00:00,dev_1301,1,728,0.7427,689,21.44,22.77,41.8,0.0,0,0.0
2026-01-01T01:50:00+00:00,dev_1301,1,728,0.748,708,21.46,22.84,41.7,0.0,0,0.0
2026-01-01T02:00:00+00:00,dev_1301,1,728,0.7428,688,21.48,22.92,43.5,0.0,0,0.0
2026-01-01T02:10:00+00:00,dev_1301,1,728,0.7437,695,21.46,23.03,45.2,0.0,0,0.0
2026-01-01T02:20:00+00:00,dev_1301,1,728,0.7485,697,21.49,23.11,43.8,0.0,0,0.0
2026-01-01T02:30:00+00:00,dev_1301,1,728,0.7407,698,21.52,23.21,41.7,0.0,0,0.0
2026-01-01T02:40:00+00:00,dev_1301,1,728,0.735,701,21.55,23.28,39.6,0.0,0,0.0
2026-01-01T02:50:00+00:00,dev_1301,1,728,0.7439,700,21.58,23.37,40.2,0.0,0,0.0
2026-01-01T03:00:00+00:00,dev_1301,1,728,0.746,685,21.61,23.41,39.1,0.0,0,0.0
2026-01-01T03:10:00+00:00,dev_1301,1,728,0.7411,699,21.65,23.46,40.9,0.0,0,0.0
2026-01-01T03:20:00+00:00,dev_1301,1,728,0.7354,691,21.65,23.56,40.1,0.0,0,0.0
2026-01-01T03:30:00+00:00,dev_1301,1,728,0.7447,686,21.69,23.63,36.6,0.0,0,0.0
2026-01-01T03:40:00+00:00,dev_1301,1,728,0.7347,698,21.69,23.73,37.4,0.0,0,0.0
2026-01-01T03:50:00+00:00,dev_1301,1,728,0.7345,679,21.72,23.82,38.0,0.0,0,0.0
2026-01-01T04:00:00+00:00,dev_1301,1,728,0.7336,677,21.74,23.93,37.7,0.0,0,0.0
2026-01-01T04:10:00+00:00,dev_1301,1,728,0.7377,688,21.75,24.02,39.6,0.0,0,0.0
2026-01-01T04:20:00+00:00,dev_1301,1,728,0.733,685,21.76,24.12,39.0,0.0,0,0.0
2026-01-01T04:30:00+00:00,dev_1301,1,728,0.7277,694,21.78,24.19,38.2,0.0,0,0.0
2026-01-01T04:40:00+00:00,dev_1301,1,728,0.7243,686,21.84,24.26,37.9,0.0,0,0.0
2026-01-01T04:50:00+00:00,dev_1301,1,728,0.7367,691,21.85,24.32,37.4,0.0,0,0.0
2026-01-01T05:00:00+00:00,dev_1301,1,728,0.7288,681,21.9,24.38,38.8,0.0,0,0.0
2026-01-01T05:10:00+00:00,dev_1301,1,728,0.7278,682,21.95,24.43,34.3,0.0,0,0.0
